Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
5,5,2.0,0.5,0.16666666666666666,1.0,0.8,0.9,0.22,0.00039874762296676636
10,22,4.4,0.4888888888888889,0,0.4888888888888889,1.0,0.4888888888888889,0.0,0.00016698241233825684
15,45,6.0,0.42857142857142855,0.24074074074074073,0.6972222222222222,0.7111111111111111,0.6952380952380952,0.20222222222222216,0.00034210458397865295
20,93,9.3,0.48947368421052634,0,0.48947368421052634,1.0,0.48947368421052634,0.0,0.0004479251801967621
25,141,11.28,0.47,0,0.47,1.0,0.47,0.0,0.0005658939480781555
30,204,13.6,0.4689655172413793,0,0.4689655172413793,1.0,0.4689655172413793,0.0,0.0008760765194892883
35,266,15.2,0.4470588235294118,0.176,0.6816666666666666,0.8345864661654135,0.719327731092437,0.16261518457798624,0.0010748952627182007
40,357,17.85,0.4576923076923077,0.1536050156739812,0.6936856247201075,0.8627450980392157,0.7410256410256411,0.15880469834992814,0.0010610930621623993
45,442,19.644444444444446,0.44646464646464645,0,0.44646464646464645,1.0,0.44646464646464645,0.0,0.001825127750635147
50,526,21.04,0.4293877551020408,0,0.4293877551020408,1.0,0.4293877551020408,0.0,0.0023842789232730865
55,620,22.545454545454547,0.4175084175084175,0,0.4175084175084175,1.0,0.4175084175084175,0.0,0.0013908669352531433
60,735,24.5,0.4152542372881356,0,0.4152542372881356,1.0,0.4152542372881356,0.0,0.0016268454492092133
65,860,26.46153846153846,0.41346153846153844,0.14109848484848486,0.6952895894428153,0.8267441860465117,0.7778846153846154,0.3266894267171445,0.001696992665529251
70,1035,29.571428571428573,0.42857142857142855,0,0.42857142857142855,1.0,0.42857142857142855,0.0,0.002400726079940796
75,1179,31.44,0.42486486486486486,0.17824074074074073,0.6949596896405408,0.8040712468193384,0.7254054054054054,0.24992032609110088,0.002096913754940033
80,1371,34.275,0.43386075949367087,0.18734335839598998,0.6860939428333523,0.7819110138584975,0.7496835443037975,0.2793562706921162,0.0022740401327610016
85,1590,37.411764705882355,0.44537815126050423,0,0.44537815126050423,1.0,0.44537815126050423,0.0,0.0026054196059703827
90,1808,40.17777777777778,0.45143570536828964,0,0.45143570536828964,1.0,0.45143570536828964,0.0,0.002887032926082611
95,2008,42.27368421052632,0.4497200447928332,0,0.4497200447928332,1.0,0.4497200447928332,0.0,0.00311385840177536
100,2198,43.96,0.444040404040404,0,0.444040404040404,1.0,0.444040404040404,0.0,0.008967295289039612
105,2442,46.51428571428571,0.4472527472527473,0,0.4472527472527473,1.0,0.4472527472527473,1.1102230246251565e-16,0.004980225116014481
110,2719,49.43636363636364,0.4535446205170976,0,0.4535446205170976,1.0,0.4535446205170976,0.0,0.00398491695523262
115,3038,52.834782608695654,0.4634630053394355,0,0.4634630053394355,1.0,0.4634630053394355,0.0,0.009258225560188293
120,3334,55.56666666666667,0.4669467787114846,0,0.4669467787114846,1.0,0.4669467787114846,0.0,0.004660550504922867
125,3636,58.176,0.46916129032258064,0,0.46916129032258064,1.0,0.46916129032258064,0.0,0.004658900201320648
130,3965,61.0,0.4728682170542636,0,0.4728682170542636,1.0,0.4728682170542636,0.0,0.004969276487827301
135,4235,62.74074074074074,0.46821448313985625,0,0.46821448313985625,1.0,0.46821448313985625,0.0,0.005453974008560181
140,4505,64.35714285714286,0.4630010277492292,0,0.4630010277492292,1.0,0.4630010277492292,0.0,0.005521904677152634
145,4929,67.98620689655172,0.4721264367816092,0,0.4721264367816092,1.0,0.4721264367816092,0.0,0.0058906227350234985
150,5280,70.4,0.47248322147651006,0,0.47248322147651006,1.0,0.47248322147651006,0.0,0.006385780870914459
155,5680,73.29032258064517,0.47591118558860496,0,0.47591118558860496,1.0,0.47591118558860496,0.0,0.007034003734588623
160,5968,74.6,0.4691823899371069,0,0.4691823899371069,1.0,0.4691823899371069,0.0,0.0068967267870903015
165,6387,77.41818181818182,0.4720620842572062,0,0.4720620842572062,1.0,0.4720620842572062,0.0,0.007307711988687515
170,6819,80.2235294117647,0.4746954403063,0,0.4746954403063,1.0,0.4746954403063,0.0,0.007609229534864426
175,7263,83.00571428571429,0.47704433497536947,0,0.47704433497536947,1.0,0.47704433497536947,0.0,0.008024048060178757
180,7659,85.1,0.47541899441340785,0,0.47541899441340785,1.0,0.47541899441340785,0.0,0.008704185485839844
185,8142,88.02162162162162,0.4783783783783784,0,0.4783783783783784,1.0,0.4783783783783784,0.0,0.01357816532254219
190,8589,90.41052631578947,0.4783625730994152,0,0.4783625730994152,1.0,0.4783625730994152,0.0,0.00924013927578926
195,8988,92.18461538461538,0.47517842981760505,0,0.47517842981760505,1.0,0.47517842981760505,0.0,0.017111308872699738
200,9536,95.36,0.47919597989949747,0,0.47919597989949747,1.0,0.47919597989949747,0.0,0.010256856679916382
205,9948,97.05365853658536,0.4757532281205165,0,0.4757532281205165,1.0,0.4757532281205165,0.0,0.010593023151159286
210,10393,98.98095238095237,0.47359307359307357,0,0.47359307359307357,1.0,0.47359307359307357,0.0,0.01090330258011818
215,10916,101.54418604651163,0.47450554227341885,0,0.47450554227341885,1.0,0.47450554227341885,0.0,0.011517789214849472
220,11502,104.56363636363636,0.47745952677459524,0,0.47745952677459524,1.0,0.47745952677459524,0.0,0.018429309129714966
225,12063,107.22666666666667,0.47869047619047617,0,0.47869047619047617,1.0,0.47869047619047617,0.0,0.01279766857624054
230,12573,109.33043478260869,0.477425479400038,0,0.477425479400038,1.0,0.477425479400038,0.0,0.012684393674135208
235,13215,112.46808510638297,0.48063284233497,0,0.48063284233497,1.0,0.48063284233497,0.0,0.013267606496810913
240,13979,116.49166666666666,0.48741283124128315,0,0.48741283124128315,1.0,0.48741283124128315,0.0,0.0141141377389431
245,14529,118.60408163265306,0.4860823017731683,0,0.4860823017731683,1.0,0.4860823017731683,0.0,0.01475587859749794
250,15135,121.08,0.48626506024096383,0,0.48626506024096383,1.0,0.48626506024096383,0.0,0.014791738241910934
255,15693,123.08235294117647,0.48457619268179714,0,0.48457619268179714,1.0,0.48457619268179714,0.0,0.01604529470205307
260,16333,125.63846153846154,0.4850905850905851,0,0.4850905850905851,1.0,0.4850905850905851,0.0,0.016511939465999603
265,16819,126.93584905660377,0.4808176100628931,0,0.4808176100628931,1.0,0.4808176100628931,0.0,0.016451232135295868
270,17475,129.44444444444446,0.4812061131763734,0,0.4812061131763734,1.0,0.4812061131763734,0.0,0.017323724925518036
275,18125,131.8181818181818,0.4810882548108825,0,0.4810882548108825,1.0,0.4810882548108825,0.0,0.03888282552361488
280,18795,134.25,0.48118279569892475,0,0.48118279569892475,1.0,0.48118279569892475,0.0,0.01877608150243759
285,19374,135.9578947368421,0.4787249814677539,0,0.4787249814677539,1.0,0.4787249814677539,0.0,0.019290301948785782
290,19958,137.64137931034483,0.47626774847870185,0,0.47626774847870185,1.0,0.47626774847870185,0.0,0.01985718309879303
295,20655,140.03389830508473,0.4763057765479073,0,0.4763057765479073,1.0,0.4763057765479073,0.0,0.020509295165538788
300,21319,142.12666666666667,0.47534002229654404,0,0.47534002229654404,1.0,0.47534002229654404,0.0,0.0210147425532341
305,21928,143.79016393442623,0.4729939603106126,0,0.4729939603106126,1.0,0.4729939603106126,0.0,0.021642718464136124
310,22687,146.36774193548388,0.47368201273619376,0,0.47368201273619376,1.0,0.47368201273619376,0.0,0.02278731018304825
315,23470,149.015873015873,0.4745728439995956,0,0.4745728439995956,1.0,0.4745728439995956,0.0,0.023116886615753174
320,24313,151.95625,0.47635188087774294,0,0.47635188087774294,1.0,0.47635188087774294,0.0,0.023651059716939926
325,25057,154.19692307692307,0.4759164292497626,0,0.4759164292497626,1.0,0.4759164292497626,0.0,0.02481866627931595
330,25695,155.72727272727272,0.47333517546283504,0,0.47333517546283504,1.0,0.47333517546283504,0.0,0.024820949882268906
335,26682,159.2955223880597,0.4769327017606578,0,0.4769327017606578,1.0,0.4769327017606578,0.0,0.02591974288225174
340,27606,162.38823529411764,0.47902134305049454,0,0.47902134305049454,1.0,0.47902134305049454,0.0,0.026545066386461258
345,28274,163.9072463768116,0.47647455342096395,0,0.47647455342096395,1.0,0.47647455342096395,0.0,0.027282491326332092
350,29124,166.42285714285714,0.47685632419156776,0,0.47685632419156776,1.0,0.47685632419156776,0.0,0.028021827340126038
355,29908,168.49577464788732,0.47597676454205456,0,0.47597676454205456,1.0,0.47597676454205456,0.0,0.028796128928661346
360,30952,171.95555555555555,0.4789848344165893,0,0.4789848344165893,1.0,0.4789848344165893,0.0,0.031384095549583435
365,31712,173.76438356164383,0.47737468011440615,0,0.47737468011440615,1.0,0.47737468011440615,0.0,0.031351443380117416
