Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
340,1530,9.0,0.02654867256637168,0.0048484848484848485,0.7494931773879144,0.8104575163398693,0.9829949678986639,0.7738779956427015,0.010445000000000704,30
350,1575,9.0,0.025787965616045846,0.004705882352941176,0.7667580409356725,0.8158730158730159,0.9855914858780188,0.7819894179894178,0.019625400000002458,32
360,1620,9.0,0.025069637883008356,0.004285714285714286,0.7445387662705151,0.8154320987654321,0.983008356545961,0.7797368922420362,0.012981399999997478,31
370,1665,9.0,0.024390243902439025,0.004166666666666667,0.7817376775271513,0.8096096096096096,0.9877829048560756,0.7794495396297197,0.012152300000000338,35
380,1710,9.0,0.023746701846965697,0.004054054054054054,0.7684640171858217,0.8046783625730994,0.9862102485765866,0.7736397524024485,0.016239500000001073,35
390,1755,9.0,0.02313624678663239,0.0036842105263157894,0.7747460605536831,0.8148148148148148,0.9848394964076198,0.7825132912882202,0.026815299999999098,35
400,1800,9.0,0.022556390977443608,0.0035897435897435897,0.7659681611435999,0.8144444444444444,0.9866165413533835,0.7843091049382716,0.019040699999997912,36
410,1845,9.0,0.022004889975550123,0.0035,0.7820855338096717,0.8146341463414634,0.9846860277893732,0.7829064122619547,0.025990200000002517,37
420,1890,9.0,0.021479713603818614,0.0034146341463414634,0.7716835949522931,0.8185185185185185,0.9876576883736788,0.7900541698160745,0.026701700000000272,38
430,1935,9.0,0.02097902097902098,0.0033333333333333335,0.7913279132791328,0.814470284237726,0.9900471621401854,0.7888285292684065,0.01756990000000158,41
440,1980,9.0,0.02050113895216401,0.0034883720930232558,0.7879047211524746,0.8166666666666667,0.9893766825429695,0.7908796296296295,0.021328000000000458,41
450,2025,9.0,0.0200445434298441,0.0034883720930232558,0.7460377349908347,0.8059259259259259,0.9830635981192775,0.7741361377838745,0.031778100000000364,38
460,2070,9.0,0.0196078431372549,0.0033928571428571428,0.7362323862323863,0.8159420289855073,0.9814151747655584,0.7830661158953536,0.021646399999998067,37
470,2115,9.0,0.019189765458422176,0.004130434782608695,0.7669637367880031,0.8160756501182033,0.9856825296012339,0.7875887083703594,0.03722240000000099,41
480,2160,9.0,0.018789144050104383,0.004042553191489362,0.7946301925025328,0.7972222222222223,0.9906402226861517,0.7745984439300411,0.022329600000002614,47
490,2205,9.0,0.018404907975460124,0.003723404255319149,0.7536103324513375,0.8154195011337868,0.9815199699511706,0.7828242347581511,0.029252599999999518,41
500,2250,9.0,0.018036072144288578,0.0038775510204081634,0.7219000806614236,0.816,0.9837434869739479,0.7863351111111111,0.019315699999999936,40
