Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time,Num of Clusters
25,50,4.0,0.16666666666666666,0.02,0.9,0.9,0.9666666666666667,0.7,0.0009524999999968031,5
50,225,9.0,0.1836734693877551,0.005,0.9777777777777776,0.9777777777777777,0.9918367346938776,0.7777777777777778,0.0024412999999938734,5
75,525,14.0,0.1891891891891892,0.0022222222222222222,0.9904761904761905,0.9904761904761905,0.9963963963963964,0.7904761904761904,0.002960000000001628,5
100,950,19.0,0.1919191919191919,0.00125,0.9947368421052631,0.9947368421052631,0.997979797979798,0.7947368421052631,0.004357499999997572,5
125,1500,24.0,0.1935483870967742,0.0008,0.9966666666666667,0.9966666666666667,0.9987096774193548,0.7966666666666666,0.0036291000000048257,5
150,2175,29.0,0.19463087248322147,0.0005555555555555556,0.9977011494252872,0.9977011494252873,0.9991051454138703,0.7977011494252872,0.009692000000001144,5
175,2975,34.0,0.19540229885057472,0.00040816326530612246,0.9983193277310924,0.9983193277310924,0.9993431855500821,0.7983193277310924,0.010821199999995201,5
200,3900,39.0,0.19597989949748743,0.0003125,0.9987179487179487,0.9987179487179487,0.9994974874371859,0.7987179487179487,0.0084407000000013,5
225,4950,44.0,0.19642857142857142,0.0002469135802469136,0.998989898989899,0.998989898989899,0.9996031746031746,0.798989898989899,0.016140399999997612,5
250,6125,49.0,0.19678714859437751,0.0002,0.9991836734693876,0.9991836734693877,0.9996787148594377,0.7991836734693878,0.01773709999999795,5
275,7425,54.0,0.19708029197080293,0.00016528925619834712,0.9993265993265993,0.9993265993265993,0.9997345719973457,0.7993265993265994,0.024622899999997117,5
300,8850,59.0,0.19732441471571907,0.0001388888888888889,0.9994350282485875,0.9994350282485875,0.9997770345596433,0.7994350282485875,0.025205499999998437,5
325,10400,64.0,0.19753086419753085,0.00011834319526627219,0.9995192307692309,0.9995192307692308,0.9998100664767331,0.7995192307692309,0.0299777999999975,5
350,12075,69.0,0.1977077363896848,0.00010204081632653062,0.9995859213250518,0.9995859213250518,0.9998362668849775,0.7995859213250517,0.0254716999999971,5
375,13875,74.0,0.19786096256684493,8.888888888888889e-05,0.9996396396396395,0.9996396396396396,0.9998573975044563,0.7996396396396397,0.04583719999999403,5
