Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
140,4505,64.35714285714286,0.4630010277492292,0.43884892086330934,0,0.49544950055493897,0.6950668036998973,0.08682112980890629,5.070993386209011
145,4929,67.98620689655172,0.4721264367816092,0.4375,0,0.5272874822479204,0.699808429118774,0.08295351302350133,5.60248938947916
150,5280,70.4,0.47248322147651006,0.436241610738255,0,0.5125,0.6923489932885906,0.08346937055211193,6.40593758970499
155,5680,73.29032258064517,0.47591118558860496,0.44155844155844154,0,0.515669014084507,0.6941767909509845,0.0853059753769094,6.895790878683329
160,5968,74.6,0.4691823899371069,0.44654088050314467,0,0.5046916890080428,0.6965408805031447,0.0915628717323491,7.564893018454313
165,6387,77.41818181818182,0.4720620842572062,0.45121951219512196,0,0.5068107092531705,0.6970436067997043,0.09307192233205998,8.530593905597925
170,6819,80.2235294117647,0.4746954403063,0.4556213017751479,0,0.5097521630737645,0.6984336930038287,0.09573801332039787,9.239756178110838
175,7263,83.00571428571429,0.47704433497536947,0.45977011494252873,0,0.469778328514388,0.6901806239737274,0.09320092034358514,10.489318139851093
180,7659,85.1,0.47541899441340785,0.4692737430167598,0,0.496801148975062,0.6958410924891372,0.09722881313848461,11.07852117344737
185,8142,88.02162162162162,0.4783783783783784,0.47282608695652173,0,0.5034389584868583,0.694653349001175,0.09353923036816233,12.15778810530901
190,8589,90.41052631578947,0.4783625730994152,0.47619047619047616,0,0.46908836884387006,0.6891673628515734,0.10298708348781488,13.636103607714176
195,8988,92.18461538461538,0.47517842981760505,0.26052910052910055,0,0.4778593680462839,0.6902987047316944,0.09809790148918324,14.558290388435125
200,9536,95.36,0.47919597989949747,0.2608125819134993,0,0.4876258389261745,0.6923618090452262,0.09749707088433508,15.588849123567343
205,9948,97.05365853658536,0.4757532281205165,0.4852941176470588,0,0.4774829111379172,0.6866092778574845,0.0863840583822367,16.956365823745728
210,10393,98.98095238095237,0.47359307359307357,0.4784688995215311,0,0.47493505243914175,0.6879015721120985,0.08801605792573179,18.15174937620759
215,10916,101.54418604651163,0.47450554227341885,0.4719626168224299,0,0.4897398314400879,0.6850684633775266,0.07405810599909424,19.13608043640852
220,11502,104.56363636363636,0.47745952677459524,0.4748858447488584,0,0.5338202051817075,0.6842258198422582,0.052881385593475584,19.47666733711958
225,12063,107.22666666666667,0.47869047619047617,0.47767857142857145,0,0.5313769377435132,0.6817063492063492,0.05366879012433337,20.937775410711765
230,12573,109.33043478260869,0.477425479400038,0.4847161572052402,0,0.4707706991171558,0.6778052022023923,0.07313292281925853,24.02772133797407
235,13215,112.46808510638297,0.48063284233497,0.48717948717948717,0,0.4793038214150587,0.6798326968539734,0.07216243079006089,25.741633001714945
240,13979,116.49166666666666,0.48741283124128315,0.49372384937238495,0,0.5358752414335789,0.6809623430962343,0.05272315798972084,26.078905902802944
245,14529,118.60408163265306,0.4860823017731683,0.4959016393442623,0,0.5350677954435956,0.6799598527935764,0.05330539042482464,27.82435444369912
250,15135,121.08,0.48626506024096383,0.4979919678714859,0,0.5586389164188966,0.683437751004016,0.055155692152414414,28.863011199980974
255,15693,123.08235294117647,0.48457619268179714,0.5,0,0.5491620467724463,0.6791106993978694,0.05902337395208464,31.081155359745026
260,16333,125.63846153846154,0.4850905850905851,0.4980694980694981,0,0.5417865670727974,0.6814671814671814,0.05676012887791335,33.47990642115474
265,16819,126.93584905660377,0.4808176100628931,0.4962121212121212,0,0.538557583685118,0.6825042881646656,0.05886772107291565,35.547515984624624
270,17475,129.44444444444446,0.4812061131763734,0.49814126394052044,0,0.5334477825464949,0.6775161778879251,0.05899536185967683,37.63667057454586
275,18125,131.8181818181818,0.4810882548108825,0.49635036496350365,0,0.5091310344827586,0.6753815527538155,0.05624285450653987,41.48587426170707
280,18795,134.25,0.48118279569892475,0.4946236559139785,0,0.5213088587390263,0.6783154121863799,0.06111602757266566,44.03055749088526
285,19374,135.9578947368421,0.4787249814677539,0.4894366197183099,0,0.5213172292763497,0.6779095626389918,0.06349743806795313,46.24748398736119
290,19958,137.64137931034483,0.47626774847870185,0.4913494809688581,0,0.5066639943882153,0.6755757069562105,0.06686057330274324,49.31951178237796
295,20655,140.03389830508473,0.4763057765479073,0.5,0,0.49101912369886225,0.671809062608094,0.06561841637474139,52.92975797876716
300,21319,142.12666666666667,0.47534002229654404,0.5083612040133779,0,0.47572587832449925,0.667870680044593,0.06901938832922719,56.72072630003095
