Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Execution Time
725,52200,144.0,0.19889502762430938,2.3781212841854935e-05,0.9999042145593868,0.9999042145593869,0.9999618975042865,6.603068699999994
750,55875,149.0,0.19893190921228304,2.2222222222222223e-05,0.9999105145413869,0.999910514541387,0.9999643969737427,6.432848300000003
50,100,4.0,0.08163265306122448,0.008888888888888889,0.9,0.9,0.9836734693877551,0.04265969999998731
100,450,9.0,0.09090909090909091,0.0022222222222222222,0.9777777777777776,0.9777777777777777,0.9959595959595959,0.10420399999999574
150,1050,14.0,0.09395973154362416,0.0009876543209876543,0.9904761904761905,0.9904761904761905,0.9982102908277405,0.2115552000000065
200,1900,19.0,0.09547738693467336,0.0005555555555555556,0.9947368421052631,0.9947368421052631,0.9989949748743718,0.3736120000000085
250,3000,24.0,0.0963855421686747,0.00035555555555555557,0.9966666666666667,0.9966666666666667,0.9993574297188755,0.6217682000000053
300,4350,29.0,0.09698996655518395,0.0002469135802469136,0.9977011494252872,0.9977011494252873,0.9995540691192865,1.0401064999999932
350,5950,34.0,0.09742120343839542,0.00018140589569160998,0.9983193277310924,0.9983193277310924,0.999672533769955,1.4230804999999975
400,7800,39.0,0.09774436090225563,0.0001388888888888889,0.998717948717949,0.9987179487179487,0.9997493734335839,1.5096630000000033
450,9900,44.0,0.09799554565701558,0.00010973936899862826,0.998989898989899,0.998989898989899,0.9998020292006929,2.1575696999999963
500,12250,49.0,0.09819639278557114,8.888888888888889e-05,0.9991836734693876,0.9991836734693877,0.9998396793587174,2.5643663999999973
550,14850,54.0,0.09836065573770492,7.346189164370983e-05,0.9993265993265993,0.9993265993265993,0.9998675277363802,2.931869699999993
600,17700,59.0,0.09849749582637729,6.17283950617284e-05,0.9994350282485875,0.9994350282485875,0.9998887033945465,4.455212000000003
650,20800,64.0,0.09861325115562404,5.259697567389875e-05,0.9995192307692309,0.9995192307692308,0.9999051795661965,6.798056500000001
700,24150,69.0,0.09871244635193133,4.5351473922902495e-05,0.9995859213250518,0.9995859213250518,0.9999182505620274,5.001390999999998
750,27750,74.0,0.09879839786381843,3.950617283950617e-05,0.9996396396396395,0.9996396396396396,0.9999287939474856,5.301549199999997
800,31600,79.0,0.09887359198998748,3.472222222222222e-05,0.9996835443037975,0.9996835443037975,0.9999374217772216,6.39559100000001
850,35700,84.0,0.0989399293286219,3.0757400999615536e-05,0.9997198879551821,0.9997198879551821,0.9999445714681633,6.925093000000004
900,40050,89.0,0.09899888765294772,2.7434842249657064e-05,0.9997503121098626,0.9997503121098626,0.999950562353232,9.996242899999999
950,44650,94.0,0.09905163329820864,2.4622960911049555e-05,0.9997760358342666,0.9997760358342666,0.9999556319671676,9.659007500000001
1000,49500,99.0,0.0990990990990991,2.2222222222222223e-05,0.9997979797979799,0.9997979797979798,0.99995995995996,11.930008000000015
